heldout_perturbation_ids	source_neighborhood_fraction	source_neighborhood_k	same_cell_line_purity	same_cell_line_coverage	same_batch_purity	same_perturbation_purity	top1_same_cell_line	top1_same_batch	top1_same_perturbation
1,7,8	0.6666666666666666	18	0.4835390946502058	0.9670781893004116	0.3395061728395062	0.3333333333333333	1.0	1.0	1.0
1,7,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,3,4	0.3333333333333333	9	0.7736625514403292	0.7736625514403292	0.3991769547325103	0.3374485596707819	1.0	1.0	1.0
2,3,4	0.5	14	0.5846560846560847	0.9094650205761318	0.3544973544973545	0.3386243386243386	1.0	1.0	1.0
2,3,4	0.6666666666666666	18	0.5	1.0	0.32510288065843623	0.3333333333333333	1.0	1.0	1.0
2,3,4	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,3,5	0.3333333333333333	9	0.7777777777777778	0.7777777777777778	0.40329218106995884	0.34156378600823045	1.0	1.0	1.0
2,3,5	0.5	14	0.5925925925925926	0.9218106995884775	0.3492063492063492	0.3412698412698413	1.0	1.0	1.0
2,3,5	0.6666666666666666	18	0.5	1.0	0.3230452674897119	0.3333333333333333	1.0	1.0	1.0
2,3,5	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,3,6	0.3333333333333333	9	0.7983539094650206	0.7983539094650205	0.38271604938271603	0.3292181069958848	1.0	1.0	1.0
2,3,6	0.5	14	0.5952380952380952	0.9259259259259259	0.3544973544973545	0.335978835978836	1.0	1.0	1.0
2,3,6	0.6666666666666666	18	0.5	1.0	0.32098765432098764	0.3333333333333333	1.0	1.0	1.0
2,3,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,3,7	0.3333333333333333	9	0.7777777777777778	0.7777777777777778	0.39094650205761317	0.345679012345679	1.0	1.0	1.0
2,3,7	0.5	14	0.5873015873015873	0.9135802469135803	0.35185185185185186	0.335978835978836	1.0	1.0	1.0
2,3,7	0.6666666666666666	18	0.5	1.0	0.31893004115226337	0.3333333333333333	1.0	1.0	1.0
2,3,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,3,8	0.3333333333333333	9	0.8024691358024691	0.8024691358024691	0.3868312757201646	0.3292181069958848	1.0	1.0	1.0
2,3,8	0.5	14	0.5952380952380952	0.9259259259259259	0.3492063492063492	0.335978835978836	1.0	1.0	1.0
2,3,8	0.6666666666666666	18	0.5	1.0	0.3292181069958848	0.33127572016460904	1.0	1.0	1.0
2,3,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,4,5	0.3333333333333333	9	0.7654320987654321	0.7654320987654322	0.40329218106995884	0.32510288065843623	1.0	1.0	1.0
2,4,5	0.5	14	0.5846560846560847	0.9094650205761318	0.35185185185185186	0.3306878306878307	1.0	1.0	1.0
2,4,5	0.6666666666666666	18	0.5	1.0	0.31893004115226337	0.33539094650205764	1.0	1.0	1.0
2,4,5	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,4,6	0.3333333333333333	9	0.7695473251028807	0.7695473251028806	0.38271604938271603	0.3374485596707819	1.0	1.0	1.0
2,4,6	0.5	14	0.582010582010582	0.9053497942386831	0.35185185185185186	0.335978835978836	1.0	1.0	1.0
2,4,6	0.6666666666666666	18	0.49794238683127573	0.9958847736625515	0.3148148148148148	0.33539094650205764	1.0	1.0	1.0
2,4,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,4,7	0.3333333333333333	9	0.757201646090535	0.7572016460905351	0.3991769547325103	0.3374485596707819	1.0	1.0	1.0
2,4,7	0.5	14	0.5740740740740741	0.8930041152263374	0.3492063492063492	0.3306878306878307	1.0	1.0	1.0
2,4,7	0.6666666666666666	18	0.49794238683127573	0.9958847736625515	0.3168724279835391	0.3374485596707819	1.0	1.0	1.0
2,4,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,4,8	0.3333333333333333	9	0.7777777777777778	0.7777777777777779	0.38271604938271603	0.3292181069958848	1.0	1.0	1.0
2,4,8	0.5	14	0.5793650793650794	0.9012345679012347	0.3492063492063492	0.3333333333333333	1.0	1.0	1.0
2,4,8	0.6666666666666666	18	0.49794238683127573	0.9958847736625515	0.3271604938271605	0.3292181069958848	1.0	1.0	1.0
2,4,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,5,6	0.3333333333333333	9	0.7983539094650206	0.7983539094650206	0.37448559670781895	0.3333333333333333	1.0	1.0	1.0
2,5,6	0.5	14	0.5925925925925926	0.9218106995884773	0.3492063492063492	0.335978835978836	1.0	1.0	1.0
2,5,6	0.6666666666666666	18	0.5	1.0	0.3230452674897119	0.3333333333333333	1.0	1.0	1.0
2,5,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,5,7	0.3333333333333333	9	0.7818930041152263	0.7818930041152263	0.4074074074074074	0.3292181069958848	1.0	1.0	1.0
2,5,7	0.5	14	0.582010582010582	0.9053497942386832	0.3412698412698413	0.3306878306878307	1.0	1.0	1.0
2,5,7	0.6666666666666666	18	0.5	1.0	0.32098765432098764	0.33127572016460904	1.0	1.0	1.0
2,5,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,5,8	0.3333333333333333	9	0.7983539094650206	0.7983539094650205	0.3991769547325103	0.32510288065843623	1.0	1.0	1.0
2,5,8	0.5	14	0.58994708994709	0.9176954732510288	0.3492063492063492	0.3333333333333333	1.0	1.0	1.0
2,5,8	0.6666666666666666	18	0.5	1.0	0.3271604938271605	0.33127572016460904	1.0	1.0	1.0
2,5,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,6,7	0.3333333333333333	9	0.7736625514403292	0.7736625514403291	0.37448559670781895	0.34156378600823045	1.0	1.0	1.0
2,6,7	0.5	14	0.582010582010582	0.9053497942386832	0.34656084656084657	0.3333333333333333	1.0	1.0	1.0
2,6,7	0.6666666666666666	18	0.5	1.0	0.32098765432098764	0.33127572016460904	1.0	1.0	1.0
2,6,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,6,8	0.3333333333333333	9	0.7983539094650206	0.7983539094650205	0.36213991769547327	0.3292181069958848	1.0	1.0	1.0
2,6,8	0.5	14	0.5978835978835979	0.9300411522633745	0.35185185185185186	0.3386243386243386	1.0	1.0	1.0
2,6,8	0.6666666666666666	18	0.5	1.0	0.3333333333333333	0.3292181069958848	1.0	1.0	1.0
2,6,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,7,8	0.3333333333333333	9	0.7777777777777778	0.7777777777777778	0.3786008230452675	0.3333333333333333	1.0	1.0	1.0
2,7,8	0.5	14	0.582010582010582	0.9053497942386832	0.335978835978836	0.3386243386243386	1.0	1.0	1.0
2,7,8	0.6666666666666666	18	0.5	1.0	0.3292181069958848	0.33127572016460904	1.0	1.0	1.0
2,7,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,4,5	0.3333333333333333	9	0.823045267489712	0.8230452674897121	0.38271604938271603	0.32510288065843623	1.0	1.0	1.0
3,4,5	0.5	14	0.5925925925925926	0.9218106995884774	0.3492063492063492	0.3412698412698413	1.0	1.0	1.0
3,4,5	0.6666666666666666	18	0.5	1.0	0.3271604938271605	0.33127572016460904	1.0	1.0	1.0
3,4,5	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,4,6	0.3333333333333333	9	0.823045267489712	0.8230452674897117	0.38271604938271603	0.3497942386831276	1.0	1.0	1.0
3,4,6	0.5	14	0.58994708994709	0.9176954732510288	0.3492063492063492	0.3412698412698413	1.0	1.0	1.0
3,4,6	0.6666666666666666	18	0.49794238683127573	0.9958847736625515	0.3292181069958848	0.33127572016460904	1.0	1.0	1.0
3,4,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,4,7	0.3333333333333333	9	0.8024691358024691	0.8024691358024691	0.40329218106995884	0.3292181069958848	1.0	1.0	1.0
3,4,7	0.5	14	0.5846560846560847	0.9094650205761317	0.35185185185185186	0.3386243386243386	1.0	1.0	1.0
3,4,7	0.6666666666666666	18	0.5	1.0	0.32510288065843623	0.3333333333333333	1.0	1.0	1.0
3,4,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,4,8	0.3333333333333333	9	0.8436213991769548	0.8436213991769549	0.3662551440329218	0.3333333333333333	1.0	1.0	1.0
3,4,8	0.5	14	0.5846560846560847	0.9094650205761318	0.3544973544973545	0.335978835978836	1.0	1.0	1.0
3,4,8	0.6666666666666666	18	0.49794238683127573	0.9958847736625515	0.33127572016460904	0.3292181069958848	1.0	1.0	1.0
3,4,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,5,6	0.3333333333333333	9	0.831275720164609	0.831275720164609	0.37037037037037035	0.3374485596707819	1.0	1.0	1.0
3,5,6	0.5	14	0.6005291005291006	0.934156378600823	0.34656084656084657	0.335978835978836	1.0	1.0	1.0
3,5,6	0.6666666666666666	18	0.5	1.0	0.3271604938271605	0.33539094650205764	1.0	1.0	1.0
3,5,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,5,7	0.3333333333333333	9	0.8148148148148148	0.8148148148148148	0.38271604938271603	0.3374485596707819	1.0	1.0	1.0
3,5,7	0.5	14	0.5952380952380952	0.9259259259259259	0.3412698412698413	0.3306878306878307	1.0	1.0	1.0
3,5,7	0.6666666666666666	18	0.5	1.0	0.33127572016460904	0.33127572016460904	1.0	1.0	1.0
3,5,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,5,8	0.3333333333333333	9	0.8477366255144033	0.8477366255144032	0.3786008230452675	0.3292181069958848	1.0	1.0	1.0
3,5,8	0.5	14	0.5952380952380952	0.9259259259259259	0.35185185185185186	0.3439153439153439	1.0	1.0	1.0
3,5,8	0.6666666666666666	18	0.5	1.0	0.3271604938271605	0.3333333333333333	1.0	1.0	1.0
3,5,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,6,7	0.3333333333333333	9	0.8065843621399177	0.8065843621399177	0.3868312757201646	0.34156378600823045	1.0	1.0	1.0
3,6,7	0.5	14	0.5925925925925926	0.9218106995884774	0.34656084656084657	0.3333333333333333	1.0	1.0	1.0
3,6,7	0.6666666666666666	18	0.5	1.0	0.32510288065843623	0.3374485596707819	1.0	1.0	1.0
3,6,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,6,8	0.3333333333333333	9	0.8353909465020576	0.8353909465020576	0.3786008230452675	0.3333333333333333	1.0	1.0	1.0
3,6,8	0.5	14	0.5978835978835979	0.9300411522633746	0.36507936507936506	0.3386243386243386	1.0	1.0	1.0
3,6,8	0.6666666666666666	18	0.5	1.0	0.3292181069958848	0.3292181069958848	1.0	1.0	1.0
3,6,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,7,8	0.3333333333333333	9	0.823045267489712	0.8230452674897119	0.38271604938271603	0.3374485596707819	1.0	1.0	1.0
3,7,8	0.5	14	0.5925925925925926	0.9218106995884774	0.3492063492063492	0.335978835978836	1.0	1.0	1.0
3,7,8	0.6666666666666666	18	0.5	1.0	0.33127572016460904	0.33127572016460904	1.0	1.0	1.0
3,7,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
4,5,6	0.3333333333333333	9	0.8024691358024691	0.8024691358024691	0.3868312757201646	0.34156378600823045	1.0	1.0	1.0
4,5,6	0.5	14	0.58994708994709	0.9176954732510288	0.3412698412698413	0.3386243386243386	1.0	1.0	1.0
4,5,6	0.6666666666666666	18	0.49794238683127573	0.9958847736625515	0.3230452674897119	0.3292181069958848	1.0	1.0	1.0
4,5,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
4,5,7	0.3333333333333333	9	0.8106995884773662	0.8106995884773665	0.3868312757201646	0.32510288065843623	1.0	1.0	1.0
4,5,7	0.5	14	0.5793650793650794	0.9012345679012346	0.3439153439153439	0.3333333333333333	1.0	1.0	1.0
4,5,7	0.6666666666666666	18	0.5	1.0	0.32510288065843623	0.3333333333333333	1.0	1.0	1.0
4,5,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
4,5,8	0.3333333333333333	9	0.831275720164609	0.8312757201646092	0.38271604938271603	0.3292181069958848	1.0	1.0	1.0
4,5,8	0.5	14	0.5846560846560847	0.9094650205761318	0.35185185185185186	0.328042328042328	1.0	1.0	1.0
4,5,8	0.6666666666666666	18	0.49794238683127573	0.9958847736625515	0.32510288065843623	0.3292181069958848	1.0	1.0	1.0
4,5,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
4,6,7	0.3333333333333333	9	0.7777777777777778	0.7777777777777778	0.3991769547325103	0.34156378600823045	1.0	1.0	1.0
4,6,7	0.5	14	0.5740740740740741	0.8930041152263374	0.3492063492063492	0.335978835978836	1.0	1.0	1.0
