heldout_perturbation_ids	source_neighborhood_fraction	source_neighborhood_k	same_cell_line_purity	same_cell_line_coverage	same_batch_purity	same_perturbation_purity	top1_same_cell_line	top1_same_batch	top1_same_perturbation
2,4,6	0.3333333333333333	9	0.7448559670781894	0.7448559670781895	0.40329218106995884	0.3333333333333333	1.0	1.0	1.0
2,4,6	0.5	14	0.5846560846560847	0.9094650205761318	0.3412698412698413	0.3386243386243386	1.0	1.0	1.0
2,4,6	0.6666666666666666	18	0.48148148148148145	0.9629629629629631	0.3333333333333333	0.3374485596707819	1.0	1.0	1.0
2,4,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,4,7	0.3333333333333333	9	0.720164609053498	0.7201646090534978	0.4074074074074074	0.345679012345679	1.0	1.0	1.0
2,4,7	0.5	14	0.582010582010582	0.9053497942386832	0.3333333333333333	0.3412698412698413	1.0	1.0	1.0
2,4,7	0.6666666666666666	18	0.48148148148148145	0.9629629629629631	0.32510288065843623	0.33539094650205764	1.0	1.0	1.0
2,4,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,4,8	0.3333333333333333	9	0.7242798353909465	0.7242798353909465	0.38271604938271603	0.3292181069958848	1.0	1.0	1.0
2,4,8	0.5	14	0.5740740740740741	0.8930041152263376	0.3412698412698413	0.3386243386243386	1.0	1.0	1.0
2,4,8	0.6666666666666666	18	0.47530864197530864	0.9506172839506173	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,4,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,5,6	0.3333333333333333	9	0.7119341563786008	0.7119341563786009	0.3868312757201646	0.3374485596707819	1.0	1.0	1.0
2,5,6	0.5	14	0.5476190476190477	0.8518518518518519	0.3386243386243386	0.328042328042328	1.0	1.0	1.0
2,5,6	0.6666666666666666	18	0.4547325102880658	0.9094650205761318	0.3395061728395062	0.32098765432098764	1.0	1.0	1.0
2,5,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,5,7	0.3333333333333333	9	0.6954732510288066	0.6954732510288066	0.39094650205761317	0.345679012345679	1.0	1.0	1.0
2,5,7	0.5	14	0.5687830687830688	0.8847736625514403	0.3439153439153439	0.3306878306878307	1.0	1.0	1.0
2,5,7	0.6666666666666666	18	0.4670781893004115	0.934156378600823	0.3374485596707819	0.3271604938271605	1.0	1.0	1.0
2,5,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,5,8	0.3333333333333333	9	0.7037037037037037	0.7037037037037037	0.3786008230452675	0.345679012345679	1.0	1.0	1.0
2,5,8	0.5	14	0.5502645502645502	0.8559670781893004	0.3333333333333333	0.335978835978836	1.0	1.0	1.0
2,5,8	0.6666666666666666	18	0.4444444444444444	0.8888888888888888	0.3436213991769547	0.32510288065843623	1.0	1.0	1.0
2,5,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,6,7	0.3333333333333333	9	0.7242798353909465	0.7242798353909465	0.3786008230452675	0.3374485596707819	1.0	1.0	1.0
2,6,7	0.5	14	0.5661375661375662	0.8806584362139918	0.3439153439153439	0.3386243386243386	1.0	1.0	1.0
2,6,7	0.6666666666666666	18	0.4711934156378601	0.9423868312757201	0.3333333333333333	0.3292181069958848	1.0	1.0	1.0
2,6,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,6,8	0.3333333333333333	9	0.7325102880658436	0.7325102880658436	0.39094650205761317	0.3374485596707819	1.0	1.0	1.0
2,6,8	0.5	14	0.5582010582010583	0.8683127572016461	0.34656084656084657	0.3439153439153439	1.0	1.0	1.0
2,6,8	0.6666666666666666	18	0.46296296296296297	0.9259259259259259	0.345679012345679	0.33539094650205764	1.0	1.0	1.0
2,6,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
2,7,8	0.3333333333333333	9	0.7078189300411523	0.7078189300411523	0.38271604938271603	0.35802469135802467	1.0	1.0	1.0
2,7,8	0.5	14	0.5661375661375662	0.880658436213992	0.335978835978836	0.34656084656084657	1.0	1.0	1.0
2,7,8	0.6666666666666666	18	0.4567901234567901	0.9135802469135803	0.33539094650205764	0.33539094650205764	1.0	1.0	1.0
2,7,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,4,5	0.3333333333333333	9	0.7119341563786008	0.7119341563786009	0.42386831275720166	0.3292181069958848	1.0	1.0	1.0
3,4,5	0.5	14	0.5740740740740741	0.8930041152263374	0.34656084656084657	0.3386243386243386	1.0	1.0	1.0
3,4,5	0.6666666666666666	18	0.4794238683127572	0.9588477366255144	0.3230452674897119	0.3271604938271605	1.0	1.0	1.0
3,4,5	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,4,6	0.3333333333333333	9	0.7530864197530864	0.7530864197530863	0.3991769547325103	0.32098765432098764	1.0	1.0	1.0
3,4,6	0.5	14	0.5873015873015873	0.9135802469135803	0.32275132275132273	0.3333333333333333	1.0	1.0	1.0
3,4,6	0.6666666666666666	18	0.4794238683127572	0.9588477366255144	0.31893004115226337	0.3333333333333333	1.0	1.0	1.0
3,4,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,4,7	0.3333333333333333	9	0.7654320987654321	0.7654320987654322	0.4074074074074074	0.3374485596707819	1.0	1.0	0.9629629629629629
3,4,7	0.5	14	0.58994708994709	0.917695473251029	0.3201058201058201	0.335978835978836	1.0	1.0	0.9629629629629629
3,4,7	0.6666666666666666	18	0.4897119341563786	0.9794238683127573	0.3045267489711934	0.3271604938271605	1.0	1.0	0.9629629629629629
3,4,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	0.9629629629629629
3,4,8	0.3333333333333333	9	0.7283950617283951	0.728395061728395	0.38271604938271603	0.34156378600823045	1.0	1.0	1.0
3,4,8	0.5	14	0.5687830687830688	0.8847736625514403	0.3148148148148148	0.3253968253968254	1.0	1.0	1.0
3,4,8	0.6666666666666666	18	0.4732510288065844	0.9465020576131686	0.31893004115226337	0.33127572016460904	1.0	1.0	1.0
3,4,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,5,6	0.3333333333333333	9	0.6995884773662552	0.6995884773662552	0.38271604938271603	0.3374485596707819	1.0	1.0	1.0
3,5,6	0.5	14	0.5661375661375662	0.8806584362139918	0.3306878306878307	0.32275132275132273	1.0	1.0	1.0
3,5,6	0.6666666666666666	18	0.46502057613168724	0.9300411522633745	0.3333333333333333	0.3292181069958848	1.0	1.0	1.0
3,5,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,5,7	0.3333333333333333	9	0.691358024691358	0.6913580246913581	0.4279835390946502	0.3374485596707819	1.0	1.0	0.9629629629629629
3,5,7	0.5	14	0.5661375661375662	0.8806584362139918	0.3386243386243386	0.3253968253968254	1.0	1.0	0.9629629629629629
3,5,7	0.6666666666666666	18	0.4773662551440329	0.9547325102880658	0.32510288065843623	0.33539094650205764	1.0	1.0	0.9629629629629629
3,5,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	0.9629629629629629
3,5,8	0.3333333333333333	9	0.6790123456790124	0.6790123456790125	0.3868312757201646	0.345679012345679	1.0	1.0	1.0
3,5,8	0.5	14	0.5502645502645502	0.8559670781893004	0.32275132275132273	0.3306878306878307	1.0	1.0	1.0
3,5,8	0.6666666666666666	18	0.4588477366255144	0.9176954732510287	0.3271604938271605	0.33127572016460904	1.0	1.0	1.0
3,5,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,6,7	0.3333333333333333	9	0.6954732510288066	0.6954732510288065	0.38271604938271603	0.345679012345679	1.0	1.0	0.9629629629629629
3,6,7	0.5	14	0.5793650793650794	0.9012345679012347	0.32275132275132273	0.328042328042328	1.0	1.0	0.9629629629629629
3,6,7	0.6666666666666666	18	0.47530864197530864	0.9506172839506172	0.32510288065843623	0.33127572016460904	1.0	1.0	0.9629629629629629
3,6,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	0.9629629629629629
3,6,8	0.3333333333333333	9	0.7242798353909465	0.7242798353909465	0.38271604938271603	0.3374485596707819	1.0	1.0	1.0
3,6,8	0.5	14	0.5608465608465608	0.8724279835390946	0.3201058201058201	0.335978835978836	1.0	1.0	1.0
3,6,8	0.6666666666666666	18	0.4609053497942387	0.9218106995884774	0.3271604938271605	0.3374485596707819	1.0	1.0	1.0
3,6,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
3,7,8	0.3333333333333333	9	0.7037037037037037	0.7037037037037037	0.39094650205761317	0.345679012345679	1.0	1.0	0.9629629629629629
