left_out_perturbation_id	alpha_source_only	support_threshold	active_fraction	transition_gap_vs_full	recall_gap_vs_full	delta_cosine_gap_vs_full
1	0.1	0.851848739058562	0.2222222222222222	0.000596560457468736	0.0	0.0005507096309609327
1	0.1	0.8610325423104322	0.2222222222222222	0.000596560457468736	0.0	0.0005507096309609327
1	0.1	0.8862745398781099	0.2222222222222222	0.000596560457468736	0.0	0.0005507096309609327
1	0.1	0.9009006851442267	0.2222222222222222	0.000596560457468736	0.0	0.0005507096309609327
1	0.1	0.9109358336891847	0.1111111111111111	-0.0003505997684615722	0.0	-0.0011842646095612253
1	0.1	0.9331897071205175	0.1111111111111111	-0.0003505997684615722	0.0	-0.0011842646095612253
1	0.1	0.9566618557676194	0.0	0.0	0.0	0.0
1	0.1	0.9566628557676194	0.0	0.0	0.0	0.0
1	0.15	0.4933503502876452	1.0	0.0006021975615279826	0.0	-0.0013090498769847136
1	0.15	0.706549260900512	0.7777777777777778	0.000628033150408467	0.0	-0.0004967417901927673
1	0.15	0.7653276194698803	0.7777777777777778	0.000628033150408467	0.0	-0.0004967417901927673
1	0.15	0.7931358005091581	0.6666666666666666	0.0008369254456990355	0.0	0.0005994424086520067
1	0.15	0.8095962997559084	0.6666666666666666	0.0008369254456990355	0.0	0.0005994424086520067
1	0.15	0.8246484669806763	0.3333333333333333	0.0010591371937133005	0.0	0.0037650640042739547
1	0.15	0.851848739058562	0.2222222222222222	0.0008725463656336849	0.0	0.0007569400258428671
1	0.15	0.8610325423104322	0.2222222222222222	0.0008725463656336849	0.0	0.0007569400258428671
1	0.15	0.8862745398781099	0.2222222222222222	0.0008725463656336849	0.0	0.0007569400258428671
1	0.15	0.9009006851442267	0.2222222222222222	0.0008725463656336849	0.0	0.0007569400258428671
1	0.15	0.9109358336891847	0.1111111111111111	-0.0005312182391749611	0.0	-0.0017622309469238484
1	0.15	0.9331897071205175	0.1111111111111111	-0.0005312182391749611	0.0	-0.0017622309469238484
1	0.15	0.9566618557676194	0.0	0.0	0.0	0.0
1	0.15	0.9566628557676194	0.0	0.0	0.0	0.0
1	0.2	0.4933503502876452	1.0	0.000758035936617326	0.0	-0.0019031971461991315
1	0.2	0.706549260900512	0.7777777777777778	0.0007952367956753671	0.0	-0.0007922741027276414
1	0.2	0.7653276194698803	0.7777777777777778	0.0007952367956753671	0.0	-0.0007922741027276414
1	0.2	0.7931358005091581	0.6666666666666666	0.001075557437032991	0.0	0.0006652956628839246
1	0.2	0.8095962997559084	0.6666666666666666	0.001075557437032991	0.0	0.0006652956628839246
1	0.2	0.8246484669806763	0.3333333333333333	0.0013803043829251245	0.0	0.004893529019928178
1	0.2	0.851848739058562	0.2222222222222222	0.0011335777594708614	0.0	0.0009200928786174956
1	0.2	0.8610325423104322	0.2222222222222222	0.0011335777594708614	0.0	0.0009200928786174956
1	0.2	0.8862745398781099	0.2222222222222222	0.0011335777594708614	0.0	0.0009200928786174956
1	0.2	0.9009006851442267	0.2222222222222222	0.0011335777594708614	0.0	0.0009200928786174956
1	0.2	0.9109358336891847	0.1111111111111111	-0.0007153769456883854	0.0	-0.002330681057206463
1	0.2	0.9331897071205175	0.1111111111111111	-0.0007153769456883854	0.0	-0.002330681057206463
1	0.2	0.9566618557676194	0.0	0.0	0.0	0.0
1	0.2	0.9566628557676194	0.0	0.0	0.0	0.0
1	0.35	0.4933503502876452	1.0	0.0010902555308839462	0.0	-0.004107070662780987
1	0.35	0.706549260900512	0.7777777777777778	0.0011698103050665765	0.0	-0.002021638582821894
1	0.35	0.7653276194698803	0.7777777777777778	0.0011698103050665765	0.0	-0.002021638582821894
1	0.35	0.7931358005091581	0.6666666666666666	0.001669789975185066	0.0	0.0005071379872841342
1	0.35	0.8095962997559084	0.6666666666666666	0.001669789975185066	0.0	0.0005071379872841342
1	0.35	0.8246484669806763	0.3333333333333333	0.0022473906816529547	0.0	0.007929451331337989
1	0.35	0.851848739058562	0.2222222222222222	0.0018264722235925568	0.0	0.0011736136966560284
1	0.35	0.8610325423104322	0.2222222222222222	0.0018264722235925568	0.0	0.0011736136966560284
1	0.35	0.8862745398781099	0.2222222222222222	0.0018264722235925568	0.0	0.0011736136966560284
1	0.35	0.9009006851442267	0.2222222222222222	0.0018264722235925568	0.0	0.0011736136966560284
1	0.35	0.9109358336891847	0.1111111111111111	-0.0012890345611062184	0.0	-0.003978834112995211
1	0.35	0.9331897071205175	0.1111111111111111	-0.0012890345611062184	0.0	-0.003978834112995211
1	0.35	0.9566618557676194	0.0	0.0	0.0	0.0
1	0.35	0.9566628557676194	0.0	0.0	0.0	0.0
1	0.5	0.4933503502876452	1.0	0.0012192960229320399	0.0	-0.006867343351543376
1	0.5	0.706549260900512	0.7777777777777778	0.0013535834182422345	0.0	-0.0036976440333265637
1	0.5	0.7653276194698803	0.7777777777777778	0.0013535834182422345	0.0	-0.0036976440333265637
1	0.5	0.7931358005091581	0.6666666666666666	0.0020812513013580697	0.0	-0.00011826711684104207
1	0.5	0.8095962997559084	0.6666666666666666	0.0020812513013580697	0.0	-0.00011826711684104207
1	0.5	0.8246484669806763	0.3333333333333333	0.0029693280135108732	0.0	0.010486840136828102
1	0.5	0.851848739058562	0.2222222222222222	0.00238358448439914	0.0	0.0011192805275098694
1	0.5	0.8610325423104322	0.2222222222222222	0.00238358448439914	0.0	0.0011192805275098694
1	0.5	0.8862745398781099	0.2222222222222222	0.00238358448439914	0.0	0.0011192805275098694
