alpha_source_only	support_threshold	mean_active_fraction	mean_transition_gap	min_transition_gap	mean_recall_gap	min_recall_gap	mean_delta_cosine_gap	min_delta_cosine_gap
0.2	0.9009006851442267	0.25	0.00011537597959590312	-0.0009617467123618217	0.0	0.0	0.0004471884577128826	-0.003404427029368051
0.2	0.9109358336891847	0.16666666666666666	-5.2742492944521185e-05	-0.0007153769456883854	0.0	0.0	-0.00018857198733077812	-0.002330681057206463
0.2	0.9331897071205175	0.08333333333333333	-0.0001301237992522192	-0.0007153769456883854	0.0	0.0	-0.0002637033423655427	-0.002330681057206463
0.2	0.9566618557676194	0.013888888888888888	-5.927361017266878e-05	-0.00047418888138135024	0.0	0.0	-7.10435658778652e-05	-0.0005683485270229216
0.2	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.35	0.4933503502876452	1.0	0.0011079114869309644	-1.9828510434069524e-06	0.0	-0.11111111111111116	0.006660833482395722	-0.004107070662780987
0.35	0.706549260900512	0.9166666666666666	0.0009814571835670394	-0.0010565832680418455	0.0	-0.11111111111111116	0.005453905848873942	-0.002449636189006288
0.35	0.7653276194698803	0.8333333333333333	0.000774629447366216	-0.002213744606599545	0.0	-0.11111111111111116	0.00398381967094967	-0.008872520253140559
0.35	0.7931358005091581	0.75	0.0007525975122359963	-0.0022782955419297715	0.0	-0.11111111111111116	0.0037370248267201284	-0.00921744279526071
0.35	0.8095962997559084	0.6666666666666666	0.0006567692079604233	-0.0021131719152846437	0.0	-0.11111111111111116	0.0030154151701050624	-0.008263533342037999
0.35	0.8246484669806763	0.5833333333333333	0.0006008692994441399	-0.0021131719152846437	0.0	-0.11111111111111116	0.003324637054285217	-0.008263533342037999
0.35	0.851848739058562	0.5	0.0006900786577550428	-0.0021131719152846437	0.0	-0.11111111111111116	0.0032824128494238526	-0.008263533342037999
0.35	0.8610325423104322	0.41666666666666663	0.000525494343518484	-0.0021131719152846437	0.0	-0.11111111111111116	0.0028359261078662636	-0.008263533342037999
0.35	0.8862745398781099	0.3333333333333333	0.0002829058027812915	-0.0020222969200001106	0.013888888888888895	0.0	0.0015961434813446633	-0.007515860768759874
0.35	0.9009006851442267	0.25	0.00010551651319931567	-0.001944070053306421	0.0	0.0	0.00042680063039836347	-0.006999981989440074
0.35	0.9109358336891847	0.16666666666666666	-0.00014327623897509548	-0.0012890345611062184	0.0	0.0	-0.0004475402781541696	-0.003978834112995211
0.35	0.9331897071205175	0.08333333333333333	-0.00023847668803136652	-0.0012890345611062184	0.0	0.0	-0.0004611974388542585	-0.003978834112995211
0.35	0.9566618557676194	0.013888888888888888	-0.00010579050578116058	-0.0008463240462492846	0.0	0.0	-0.0001289658542455857	-0.0010317268339646857
0.35	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.5	0.4933503502876452	1.0	0.0012281430630262389	-0.0006078514920863365	0.0	-0.11111111111111116	0.007759333371053483	-0.006867343351543376
0.5	0.706549260900512	0.9166666666666666	0.0010625122276377817	-0.002081119513709498	0.0	-0.11111111111111116	0.00615818166797635	-0.006508083131620324
0.5	0.7653276194698803	0.8333333333333333	0.000794729781428644	-0.0036701620286936354	0.0	-0.11111111111111116	0.004352279908932628	-0.015206491678815492
0.5	0.7931358005091581	0.75	0.0007819034917229285	-0.0037431075128877417	0.0	-0.11111111111111116	0.00407414309983899	-0.015501246833015347
0.5	0.8095962997559084	0.6666666666666666	0.0006671665080089152	-0.003412371828335821	0.0	-0.11111111111111116	0.0031878370215407785	-0.013326031692764473
0.5	0.8246484669806763	0.5833333333333333	0.0006346935645260374	-0.003412371828335821	0.0	-0.11111111111111116	0.0037946585427567243	-0.013326031692764473
0.5	0.851848739058562	0.5	0.0007731316268266655	-0.003412371828335821	0.0	-0.11111111111111116	0.0037888559396194454	-0.013326031692764473
0.5	0.8610325423104322	0.41666666666666663	0.0005534204548281177	-0.003412371828335821	0.0	-0.11111111111111116	0.003293555899769089	-0.013326031692764473
0.5	0.8862745398781099	0.3333333333333333	0.0002312776820849184	-0.0032677730310308115	0.013888888888888895	0.0	0.0016668468129220973	-0.012084863120340406
0.5	0.9009006851442267	0.25	1.4281116314259976e-05	-0.0031402605454071697	0.0	0.0	0.0001736966060627912	-0.011128326205333994
0.5	0.9109358336891847	0.16666666666666666	-0.0002765809561706573	-0.001894293314483663	0.0	0.0	-0.0007677614735909499	-0.005541840131822684
0.5	0.9331897071205175	0.08333333333333333	-0.000356044580197763	-0.001894293314483663	0.0	0.0	-0.0006597569879990065	-0.005541840131822684
0.5	0.9566618557676194	0.013888888888888888	-0.0001540719690002702	-0.0012325757520021616	0.0	0.0	-0.0001912215480423668	-0.0015297723843389344
0.5	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
