heldout_perturbation_ids	space	label_col	recall_at_1	recall_at_5	map	median_rank
3,6,7	delta	perturbation_label	0.6296296296296297	0.8888888888888888	0.49836874855235497	1.0
3,6,7	delta	cell_line_label	0.8148148148148148	1.0	0.5256116517269133	1.0
3,6,8	endpoint	condition_key	0.25925925925925924	0.7037037037037037	0.36734388568474713	3.0
3,6,8	endpoint	perturbation_label	0.3333333333333333	0.7407407407407407	0.4287381428824165	2.0
3,6,8	endpoint	cell_line_label	0.8518518518518519	1.0	0.6664303245132212	1.0
3,6,8	delta	condition_key	0.2962962962962963	0.5925925925925926	0.32415119670259684	4.0
3,6,8	delta	perturbation_label	0.4074074074074074	0.6666666666666666	0.49483838796831414	2.0
3,6,8	delta	cell_line_label	0.7037037037037037	0.9629629629629629	0.47382835058854456	1.0
3,7,8	endpoint	condition_key	0.3333333333333333	0.7407407407407407	0.3957648588757157	2.0
3,7,8	endpoint	perturbation_label	0.4074074074074074	0.8888888888888888	0.44287864448657405	2.0
3,7,8	endpoint	cell_line_label	0.7777777777777778	0.8518518518518519	0.6528902279267881	1.0
3,7,8	delta	condition_key	0.4074074074074074	0.7037037037037037	0.3643480435608382	2.0
3,7,8	delta	perturbation_label	0.5185185185185185	0.7777777777777778	0.5279708079931594	1.0
3,7,8	delta	cell_line_label	0.7407407407407407	1.0	0.48445958596554195	1.0
4,5,6	endpoint	condition_key	0.4074074074074074	0.9259259259259259	0.40138290883904915	2.0
4,5,6	endpoint	perturbation_label	0.4074074074074074	0.9629629629629629	0.4157063103050882	2.0
4,5,6	endpoint	cell_line_label	0.9629629629629629	1.0	0.734951929675415	1.0
4,5,6	delta	condition_key	0.18518518518518517	0.8148148148148148	0.29496095475742307	3.0
4,5,6	delta	perturbation_label	0.4074074074074074	1.0	0.434438687411584	2.0
4,5,6	delta	cell_line_label	0.4444444444444444	1.0	0.48041997823320265	2.0
4,5,7	endpoint	condition_key	0.2222222222222222	0.7407407407407407	0.3448707576531221	3.0
