metric,value
rna_counterfactual_by_group=BRD-A11319535|10.0|24.0|A549_pseudobulk_correlation,0.8394790540305911
rna_counterfactual_by_group=BRD-A11319535|10.0|24.0|A549_logfc_correlation,0.8422452463711426
rna_counterfactual_by_group=BRD-A11319535|10.0|24.0|A549_direction_accuracy,0.8588957055214724
rna_counterfactual_by_group=BRD-A11319535|10.0|24.0|A549_top20_de_overlap,0.65
rna_counterfactual_by_group=BRD-A11319535|10.0|24.0|A549_top50_de_overlap,0.56
rna_counterfactual_by_group=BRD-A11319535|10.0|24.0|A549_top100_de_overlap,0.6
rna_counterfactual_by_group=BRD-A11990600|10.0|24.0|A549_pseudobulk_correlation,0.7676101527805398
rna_counterfactual_by_group=BRD-A11990600|10.0|24.0|A549_logfc_correlation,0.775513100158335
rna_counterfactual_by_group=BRD-A11990600|10.0|24.0|A549_direction_accuracy,0.810838445807771
rna_counterfactual_by_group=BRD-A11990600|10.0|24.0|A549_top20_de_overlap,0.35
rna_counterfactual_by_group=BRD-A11990600|10.0|24.0|A549_top50_de_overlap,0.44
rna_counterfactual_by_group=BRD-A11990600|10.0|24.0|A549_top100_de_overlap,0.5
rna_counterfactual_by_group=BRD-A12077521|10.0|24.0|A549_pseudobulk_correlation,0.7191568271215164
rna_counterfactual_by_group=BRD-A12077521|10.0|24.0|A549_logfc_correlation,0.7926852190375182
rna_counterfactual_by_group=BRD-A12077521|10.0|24.0|A549_direction_accuracy,0.810838445807771
rna_counterfactual_by_group=BRD-A12077521|10.0|24.0|A549_top20_de_overlap,0.45
rna_counterfactual_by_group=BRD-A12077521|10.0|24.0|A549_top50_de_overlap,0.48
rna_counterfactual_by_group=BRD-A12077521|10.0|24.0|A549_top100_de_overlap,0.51
rna_counterfactual_by_group=BRD-A12230535|10.0|24.0|A549_pseudobulk_correlation,0.9040267254294786
rna_counterfactual_by_group=BRD-A12230535|10.0|24.0|A549_logfc_correlation,0.9062006015597792
rna_counterfactual_by_group=BRD-A12230535|10.0|24.0|A549_direction_accuracy,0.8885480572597138
rna_counterfactual_by_group=BRD-A12230535|10.0|24.0|A549_top20_de_overlap,0.6
rna_counterfactual_by_group=BRD-A12230535|10.0|24.0|A549_top50_de_overlap,0.7
rna_counterfactual_by_group=BRD-A12230535|10.0|24.0|A549_top100_de_overlap,0.7
rna_counterfactual_by_group=BRD-A12237696|10.0|24.0|A549_pseudobulk_correlation,0.632438783073478
rna_counterfactual_by_group=BRD-A12237696|10.0|24.0|A549_logfc_correlation,0.7370459697966344
rna_counterfactual_by_group=BRD-A12237696|10.0|24.0|A549_direction_accuracy,0.7709611451942741
rna_counterfactual_by_group=BRD-A12237696|10.0|24.0|A549_top20_de_overlap,0.25
rna_counterfactual_by_group=BRD-A12237696|10.0|24.0|A549_top50_de_overlap,0.34
rna_counterfactual_by_group=BRD-A12237696|10.0|24.0|A549_top100_de_overlap,0.47
rna_counterfactual_by_group=BRD-A12896037|10.0|24.0|A549_pseudobulk_correlation,0.7686946164979296
rna_counterfactual_by_group=BRD-A12896037|10.0|24.0|A549_logfc_correlation,0.797972400309666
rna_counterfactual_by_group=BRD-A12896037|10.0|24.0|A549_direction_accuracy,0.8312883435582822
rna_counterfactual_by_group=BRD-A12896037|10.0|24.0|A549_top20_de_overlap,0.25
rna_counterfactual_by_group=BRD-A12896037|10.0|24.0|A549_top50_de_overlap,0.36
rna_counterfactual_by_group=BRD-A12896037|10.0|24.0|A549_top100_de_overlap,0.48
rna_counterfactual_by_group=BRD-A12994259|10.0|24.0|A549_pseudobulk_correlation,0.6740636443830387
rna_counterfactual_by_group=BRD-A12994259|10.0|24.0|A549_logfc_correlation,0.7010506701851863
