baseline,group,n_samples,pearson_delta,spearman_delta,delta_mae,delta_mse,top50_jaccard_delta,top50_de_recovery,perturbation_split,perturbation
control_mean,overall,277,0.0,0.0,0.9030647210755056,2.0024347081671645,0.0,0.07530685920577618,,
control_mean,held_out|BRD-K43002771,1,0.0,0.0,0.8159999301218898,1.6518747217167653,0.010101010101010102,0.04,held_out,BRD-K43002771
control_mean,held_out|BRD-K43410529,1,0.0,0.0,0.7040614660149473,0.9585200335317501,0.05263157894736842,0.06,held_out,BRD-K43410529
control_mean,held_out|BRD-K43578482,1,0.0,0.0,0.6325528499722971,0.709488569929014,0.05263157894736842,0.08,held_out,BRD-K43578482
control_mean,held_out|BRD-K45168550,1,0.0,0.0,0.9704830987879594,2.1357777202825026,0.041666666666666664,0.04,held_out,BRD-K45168550
control_mean,held_out|BRD-K45245728,1,0.0,0.0,0.5870141861726123,0.6841659290920583,0.041666666666666664,0.1,held_out,BRD-K45245728
control_mean,held_out|BRD-K45503887,1,0.0,0.0,0.7977406639760112,1.4694491105098044,0.041666666666666664,0.06,held_out,BRD-K45503887
control_mean,held_out|BRD-K46839850,1,0.0,0.0,0.8963087617720713,1.955413849162821,0.030927835051546393,0.1,held_out,BRD-K46839850
control_mean,held_out|BRD-K47554101,1,0.0,0.0,0.7693411133174243,1.397935770139753,0.030927835051546393,0.04,held_out,BRD-K47554101
control_mean,held_out|BRD-K47639036,1,0.0,0.0,0.7190993470598355,1.131871532340053,0.0989010989010989,0.12,held_out,BRD-K47639036
control_mean,held_out|BRD-K47869605,1,0.0,0.0,1.4424931598839863,4.026772628052591,0.010101010101010102,0.02,held_out,BRD-K47869605
control_mean,held_out|BRD-K48195801,1,0.0,0.0,0.9354179897135878,1.7857805143470833,0.05263157894736842,0.06,held_out,BRD-K48195801
control_mean,held_out|BRD-K48213016,1,0.0,0.0,1.7825003608383712,5.601842764536436,0.030927835051546393,0.08,held_out,BRD-K48213016
control_mean,held_out|BRD-K49555808,1,0.0,0.0,0.8332510592704296,1.2929289282429746,0.010101010101010102,0.02,held_out,BRD-K49555808
control_mean,held_out|BRD-K49807096,1,0.0,0.0,2.1736764455420534,7.739288101323659,0.041666666666666664,0.08,held_out,BRD-K49807096
control_mean,held_out|BRD-K50133271,1,0.0,0.0,0.7412280468664557,1.4939669519475243,0.030927835051546393,0.08,held_out,BRD-K50133271
control_mean,held_out|BRD-K50590187,1,0.0,0.0,0.6719746711652533,0.9900057710772907,0.041666666666666664,0.14,held_out,BRD-K50590187
control_mean,held_out|BRD-K51087630,1,0.0,0.0,0.5805626889382511,0.6071713402648607,0.030927835051546393,0.06,held_out,BRD-K51087630
control_mean,held_out|BRD-K51143828,1,0.0,0.0,0.5594007962152918,0.5614592143519888,0.02040816326530612,0.0,held_out,BRD-K51143828
control_mean,held_out|BRD-K52233191,1,0.0,0.0,3.413996131027199,18.047455678726333,0.010101010101010102,0.06,held_out,BRD-K52233191
control_mean,held_out|BRD-K53097745,1,0.0,0.0,0.6874677155930718,1.0094130157914563,0.010101010101010102,0.06,held_out,BRD-K53097745
control_mean,held_out|BRD-K53517854,1,0.0,0.0,0.7116860567732017,1.0048145208527108,0.030927835051546393,0.04,held_out,BRD-K53517854
control_mean,held_out|BRD-K53814070,1,0.0,0.0,0.7174013814195562,0.9305323986887472,0.02040816326530612,0.12,held_out,BRD-K53814070
control_mean,held_out|BRD-K54770957,1,0.0,0.0,0.5770084035623074,0.5864872086830467,0.041666666666666664,0.06,held_out,BRD-K54770957
control_mean,held_out|BRD-K55512740,1,0.0,0.0,0.5907292880681081,0.745524981620432,0.041666666666666664,0.06,held_out,BRD-K55512740
control_mean,held_out|BRD-K56751279,1,0.0,0.0,0.6996467825006953,0.9586909601422628,0.05263157894736842,0.08,held_out,BRD-K56751279
control_mean,held_out|BRD-K56810756,1,0.0,0.0,0.8170933416111067,1.2390994673176714,0.02040816326530612,0.08,held_out,BRD-K56810756
control_mean,held_out|BRD-K57545991,1,0.0,0.0,0.7477447674915667,1.0836589501573808,0.02040816326530612,0.04,held_out,BRD-K57545991
control_mean,held_out|BRD-K58626373,1,0.0,0.0,0.5213557377112343,0.576179588475932,0.07526881720430108,0.12,held_out,BRD-K58626373
control_mean,held_out|BRD-K58736316,1,0.0,0.0,0.6111146502083268,0.8311416029585159,0.030927835051546393,0.08,held_out,BRD-K58736316
control_mean,held_out|BRD-K58951486,1,0.0,0.0,0.6033307258501934,0.8165313506968771,0.041666666666666664,0.12,held_out,BRD-K58951486
control_mean,held_out|BRD-K59197931,1,0.0,0.0,0.6784165607395592,1.0059262601378078,0.041666666666666664,0.04,held_out,BRD-K59197931
control_mean,held_out|BRD-K59273480,1,0.0,0.0,0.8903757340945065,1.4927703865273143,0.041666666666666664,0.08,held_out,BRD-K59273480
control_mean,held_out|BRD-K59331299,1,0.0,0.0,0.8737817320767496,1.460324238280311,0.0,0.02,held_out,BRD-K59331299
control_mean,held_out|BRD-K59875992,1,0.0,0.0,0.6176283802637725,0.7931053035191876,0.030927835051546393,0.02,held_out,BRD-K59875992
control_mean,held_out|BRD-K59929863,1,0.0,0.0,0.5329422760778298,0.5623233012075323,0.02040816326530612,0.14,held_out,BRD-K59929863
control_mean,held_out|BRD-K61250553,1,0.0,0.0,0.8264736426033827,1.4789615528305033,0.030927835051546393,0.04,held_out,BRD-K61250553
control_mean,held_out|BRD-K61988078,1,0.0,0.0,0.6871407977217511,1.004840323387809,0.030927835051546393,0.1,held_out,BRD-K61988078
