seed	selected_inner_cone_mix	scale	threshold	safe	active_fraction	unsafe_count_at_full_scale	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	near_tie_flips
35	0.0	0.0125	-0.16213203133257603	True	0.6666666666666666	12	0.6429924209237199	0.9327662281058254	0.5	0.0007071335378913135	0.0007535861849691239	0.0	0.0	0.0	0.0
35	0.0	0.0125	0.0	False	1.0	12	0.6435736891092962	0.9333816832999341	0.5	0.0012884017234676692	0.0013690413790777844	0.0	0.0	11.0	0.0
35	0.0	0.0125	1e-06	False	1.0	12	0.6435736891092962	0.9333816832999341	0.5	0.0012884017234676692	0.0013690413790777844	0.0	0.0	11.0	0.0
35	0.0	0.025	-3.7672985882189782	True	0.0	14	0.6422852873858286	0.9320126419208563	0.5	0.0	0.0	0.0	0.0	0.0	0.0
35	0.0	0.025	-3.767297588218978	True	0.027777777777777776	14	0.6422919565202743	0.9320208417917029	0.5	6.669134445691505e-06	8.199870846548052e-06	0.0	0.0	0.0	0.0
35	0.0	0.025	-3.307561182295723	True	0.05555555555555555	14	0.6426905012991528	0.932452191791906	0.5	0.00040521391332426493	0.00043954987104966037	0.0	0.0	0.0	0.0
35	0.0	0.025	-3.2717287748093766	True	0.1111111111111111	14	0.6429794976092026	0.9328249257423589	0.5	0.0006942102233740144	0.0008122838215025574	0.0	0.0	0.0	0.0
35	0.0	0.025	-3.187804212361636	True	0.16666666666666666	14	0.6429932102742808	0.9328390527619289	0.5	0.0007079228884522282	0.0008264108410726001	0.0	0.0	0.0	0.0
35	0.0	0.025	-2.8225896016017247	True	0.2222222222222222	14	0.6430154952288601	0.9328742046764407	0.5	0.0007302078430315717	0.0008615627555843552	0.0	0.0	0.0	0.0
35	0.0	0.025	-2.624295037310125	True	0.25	14	0.6430229429206054	0.9328906709195645	0.5	0.0007376555347767821	0.0008780289987081469	0.0	0.0	0.0	0.0
35	0.0	0.025	-2.3019025686622165	True	0.3055555555555556	14	0.6430433220778713	0.932925150296284	0.5	0.0007580346920427194	0.0009125083754276675	0.0	0.0	0.0	0.0
35	0.0	0.025	-2.108986704612062	True	0.3611111111111111	14	0.6430686229104844	0.9329804476526724	0.5	0.0007833355246558149	0.000967805731816096	0.0	0.0	0.0	0.0
35	0.0	0.025	-1.696987655232984	True	0.4166666666666667	14	0.64310358284086	0.9330139637339051	0.5	0.0008182954550314259	0.0010013218130487944	0.0	0.0	0.0	0.0
35	0.0	0.025	-1.6746902963892965	True	0.4444444444444444	14	0.6431282036572565	0.9330304871720022	0.5	0.0008429162714279625	0.001017845251145899	0.0	0.0	0.0	0.0
35	0.0	0.025	-1.6064547112750247	True	0.5	14	0.6434008340589206	0.9332419986866327	0.5	0.0011155466730919938	0.0012293567657764015	0.0	0.0	0.0	0.0
35	0.0	0.025	-1.0846247374405307	True	0.5555555555555556	14	0.6434345312857523	0.9332958326921451	0.5	0.0011492438999237686	0.0012831907712888002	0.0	0.0	0.0	0.0
35	0.0	0.025	-0.16213203133257603	True	0.6111111111111112	14	0.6435356985998691	0.9333942432854374	0.5	0.0012504112140405699	0.0013816013645810976	0.0	0.0	0.0	0.0
35	0.0	0.025	-0.0	False	1.0	14	0.6448326063565365	0.9347317516927371	0.5	0.0025473189707079236	0.0027191097718808344	0.0	0.0	13.0	0.0
35	0.0	0.025	1e-06	False	1.0	14	0.6448326063565365	0.9347317516927371	0.5	0.0025473189707079236	0.0027191097718808344	0.0	0.0	13.0	0.0
35	0.0	0.05	-3.3356352661344926	True	0.0	20	0.6422852873858286	0.9320126419208563	0.5	0.0	0.0	0.0	0.0	0.0	0.0
35	0.0	0.05	-3.3356342661344924	True	0.027777777777777776	20	0.6430610533052187	0.9328597212811355	0.5	0.0007757659193901034	0.0008470793602791682	0.0	0.0	0.0	0.0
35	0.0	0.05	-3.146127562883674	True	0.05555555555555555	20	0.6436089558829334	0.9335808824302296	0.5	0.0013236684971048573	0.0015682405093733198	0.0	0.0	0.0	0.0
35	0.0	0.05	-2.2888272674198618	True	0.1111111111111111	20	0.6436349479950356	0.9336102115433328	0.5	0.0013496606092070484	0.0015975696224764802	0.0	0.0	0.0	0.0
