aggregator	mode	split	stage	rows	dims	min_std	mean_std	rank	effective_rank	mean_norm	pairwise_cosine_mean	pairwise_cosine_std	collapse_flag	bio_latent_r2_from_train
attention	train_no_grad	val	rna_raw_cls	32	32	0.08177114441633616	0.14529346635409673	31	21.266812333171867	5.4152046829949025	0.9740146691434686	0.010775259462365447	False	-8.930125996093256
attention	train_no_grad	val	image_raw_cls	32	32	0.03669883920878849	0.08113189492435353	30	22.10187971066051	5.618006543916843	0.9919473733197877	0.003153658437095793	False	-6.652143639079551
attention	train_no_grad	val	rna_token_mean	32	32	0.012601593344705725	0.05460873828164714	30	8.65592859132916	2.4081459727031778	0.9896085760336847	0.01169604621109621	False	0.1540420223593083
attention	train_no_grad	val	image_patch_mean	32	32	0.01282450259171879	0.02884760317708424	31	20.49862734397064	5.556138774388089	0.998993154066317	0.00042535832470369175	False	0.5287486589023932
attention	train_no_grad	val	rna_projection_pre_norm	32	32	0.0519445154430095	0.08037119527800479	30	14.819580442581453	4.320564863965043	0.9888338070867589	0.005840029611310357	False	-1.3395400848963384
attention	train_no_grad	val	image_projection_pre_norm	32	32	0.06217736814678582	0.0850758604243605	30	14.102440619768815	3.4631456193525016	0.9796034934553085	0.011122870020944755	False	-0.9525075757069632
attention	train_no_grad	val	rna_projection_norm_instance_mean	32	32	0.010613743311341694	0.018009995573876843	27	14.77773488372043	0.971118108129393	0.9882482585306083	0.006209971335541053	False	-0.5247379713035072
attention	train_no_grad	val	image_projection_norm_instance_mean	32	32	0.016323764446879812	0.023094495363433592	29	14.126344777213093	0.9382859921024447	0.9794027469697434	0.011441581684309858	False	-0.43732780779292635
attention	train_no_grad	val	rna_shared	32	32	0.025734304021765374	0.06338910431277704	28	12.82377227483575	5.690545158503783	0.9955469968481558	0.0026808887112367854	False	-0.9957199053434407
attention	train_no_grad	val	image_shared	32	32	0.04596669805032624	0.08464850165480801	30	12.992901208576592	5.716673250573023	0.9923071446582151	0.004288291152897808	False	-1.0050488272021099
attention	train_no_grad	test	rna_raw_cls	32	32	0.06736456483206266	0.13628169984586624	31	22.30715917483572	5.417682183608525	0.9778342865915916	0.007976670424302116	False	-8.846098222580753
attention	train_no_grad	test	image_raw_cls	32	32	0.035457343828937164	0.08557444057327579	31	21.661336545874182	5.602681657880491	0.9906198008730925	0.0034423884103718643	False	-6.333891000821373
attention	train_no_grad	test	rna_token_mean	32	32	0.010999857406754668	0.041090955121781306	30	10.54377320048136	2.334643881312118	0.9933821635105606	0.007386561222651855	False	0.08085595971910386
attention	train_no_grad	test	image_patch_mean	32	32	0.014445989246333862	0.029617826179467236	31	20.638413180722264	5.5584579484551355	0.9989396716685875	0.00048481698049368033	False	0.5689595460125141
attention	train_no_grad	test	rna_projection_pre_norm	32	32	0.058021972108904765	0.07599824880117531	29	15.31022500265805	4.348387532873058	0.990574387970793	0.0052697573133550285	False	-1.339400993875627
attention	train_no_grad	test	image_projection_pre_norm	32	32	0.04916074381570817	0.09703701895664663	30	13.68982070803398	3.466949902306667	0.9733479530500391	0.015881713139841915	False	-1.4232972520835454
attention	train_no_grad	test	rna_projection_norm_instance_mean	32	32	0.012944494939052845	0.016520023899008796	27	15.451042526384919	0.9729512512928831	0.9902747945425212	0.0054339112063955565	False	-0.2299661576893144
attention	train_no_grad	test	image_projection_norm_instance_mean	32	32	0.012355010610865708	0.025534793565781568	29	13.817640356863516	0.9309827095525549	0.973755233814548	0.015577742427164438	False	-0.5181836326325335
attention	train_no_grad	test	rna_shared	32	32	0.031229832195716112	0.059355354186952494	28	13.225705314089817	5.691011611331266	0.9961571043686105	0.002447980179649326	False	-1.0033682314854624
attention	train_no_grad	test	image_shared	32	32	0.05249670741213178	0.10144731560794054	29	12.337053659128905	5.716638956907753	0.9888075944577521	0.006990822422641556	False	-1.6315247324482964
mean	eval	train	rna_raw_cls	32	32	0.00931224059430835	0.032477392467656234	29	8.224838132212883	5.755104485588174	0.9984970048365945	0.0015895194747304968	True	0.7808715980268186
mean	eval	train	image_raw_cls	32	32	0.0035598468423598717	0.011160223178032263	23	8.140225750414169	5.749636512286669	0.9998557015914994	0.00010602367817777733	True	0.9691481259672026
mean	eval	train	rna_token_mean	32	32	0.005235358146774961	0.03309695199381505	31	6.30708984236308	2.450594734459784	0.9972108698630789	0.0031037695363651135	True	0.8559193917229428
mean	eval	train	image_patch_mean	32	32	0.003745769866823161	0.01998565008918247	24	7.099064854744126	5.718894859842315	0.999499478342295	0.00040577215007942793	True	0.9785924101944027
mean	eval	train	rna_projection_pre_norm	32	32	0.004396357331053896	0.020491476884037345	20	5.33256592716921	3.325101985514254	0.9984088090097373	0.0017502257848510856	True	0.5354412162414982
mean	eval	train	image_projection_pre_norm	32	32	0.0021358952155192006	0.00907782347108311	14	4.919105803878585	3.848766083763059	0.9997535271007952	0.00021330149361991152	True	0.9209459927411262
mean	eval	train	rna_projection_norm_instance_mean	32	32	0.0013671066583174495	0.006129302825225269	16	5.355771227524374	0.9985213467383298	0.9984117081410967	0.0017473814170206733	True	0.36124539565300884
mean	eval	train	image_projection_norm_instance_mean	32	32	0.0005668142725450747	0.0023576595697576202	10	4.884615690040874	0.9999942648226856	0.9997535223920339	0.00021330615069698185	True	0.7442631419691452
mean	eval	train	rna_shared	32	32	0.009092803031522054	0.03418081890439488	21	5.284606604827973	5.720610462246952	0.9984913307092241	0.0016577967847715856	True	0.6186150894648298
mean	eval	train	image_shared	32	32	0.004172595248003117	0.01335546219651824	16	4.896939778043743	5.658982579367964	0.9997570471412184	0.00020832970929803227	True	0.9389854456082506
