heldout_perturbation_ids	label_col	recall_at_1	recall_at_5	map	median_rank
3,4,6	batch_label	0.4444444444444444	1.0	0.41245539453849317	2.0
3,4,7	condition_key	0.3333333333333333	0.8518518518518519	0.3860779127419993	2.0
3,4,7	condition_batch_label	0.07407407407407407	0.48148148148148145	0.2231597753599244	6.0
3,4,7	perturbation_label	0.3333333333333333	0.8888888888888888	0.4162597552703436	2.0
3,4,7	cell_line_label	0.9259259259259259	1.0	0.7155490873620484	1.0
3,4,7	batch_label	0.2222222222222222	0.9629629629629629	0.4076737510568933	3.0
3,4,8	condition_key	0.3333333333333333	0.7777777777777778	0.3958643236543158	3.0
3,4,8	condition_batch_label	0.14814814814814814	0.4074074074074074	0.28166390840109445	9.0
3,4,8	perturbation_label	0.3333333333333333	0.8148148148148148	0.42439873087441266	3.0
3,4,8	cell_line_label	1.0	1.0	0.7003700221699296	1.0
3,4,8	batch_label	0.2962962962962963	0.9629629629629629	0.3944911964253916	2.0
3,5,6	condition_key	0.25925925925925924	1.0	0.3539964836261132	3.0
3,5,6	condition_batch_label	0.1111111111111111	0.37037037037037035	0.25098132320354544	8.0
3,5,6	perturbation_label	0.2962962962962963	1.0	0.39691344514859384	3.0
3,5,6	cell_line_label	0.9629629629629629	1.0	0.7448388742613617	1.0
3,5,6	batch_label	0.4444444444444444	1.0	0.41165131020896883	2.0
3,5,7	condition_key	0.2222222222222222	0.8148148148148148	0.3590224824099953	2.0
3,5,7	condition_batch_label	0.07407407407407407	0.4444444444444444	0.25611298470202265	8.0
3,5,7	perturbation_label	0.2962962962962963	0.9259259259259259	0.41739545294059716	2.0
3,5,7	cell_line_label	0.8518518518518519	1.0	0.6838053914775812	1.0
3,5,7	batch_label	0.37037037037037035	0.8888888888888888	0.43842410076210214	2.0
3,5,8	condition_key	0.2222222222222222	0.7407407407407407	0.3406961025811078	3.0
3,5,8	condition_batch_label	0.1111111111111111	0.37037037037037035	0.24823247463912426	8.0
3,5,8	perturbation_label	0.2962962962962963	0.8148148148148148	0.41675314945712977	2.0
3,5,8	cell_line_label	0.7037037037037037	0.9629629629629629	0.6261635199215196	1.0
3,5,8	batch_label	0.2962962962962963	0.8518518518518519	0.4138725320676599	2.0
3,6,7	condition_key	0.2962962962962963	0.7777777777777778	0.38621338082751816	3.0
3,6,7	condition_batch_label	0.1111111111111111	0.4444444444444444	0.2678434877686559	7.0
3,6,7	perturbation_label	0.2962962962962963	0.8518518518518519	0.42022322887091257	3.0
3,6,7	cell_line_label	0.9629629629629629	1.0	0.7181871983323211	1.0
3,6,7	batch_label	0.37037037037037035	0.9629629629629629	0.41887344798596	2.0
3,6,8	condition_key	0.25925925925925924	0.7037037037037037	0.36734388568474713	3.0
3,6,8	condition_batch_label	0.1111111111111111	0.4074074074074074	0.26754574151917143	9.0
3,6,8	perturbation_label	0.3333333333333333	0.7407407407407407	0.4287381428824165	2.0
3,6,8	cell_line_label	0.8518518518518519	1.0	0.6664303245132212	1.0
3,6,8	batch_label	0.3333333333333333	1.0	0.4035898451892163	2.0
3,7,8	condition_key	0.3333333333333333	0.7407407407407407	0.3957648588757157	2.0
3,7,8	condition_batch_label	0.07407407407407407	0.37037037037037035	0.241772208527442	10.0
3,7,8	perturbation_label	0.4074074074074074	0.8888888888888888	0.44287864448657405	2.0
3,7,8	cell_line_label	0.7777777777777778	0.8518518518518519	0.6528902279267881	1.0
3,7,8	batch_label	0.3333333333333333	0.9259259259259259	0.4151240964111488	2.0
4,5,6	condition_key	0.4074074074074074	0.9259259259259259	0.40138290883904915	2.0
4,5,6	condition_batch_label	0.14814814814814814	0.37037037037037035	0.2831059030133104	8.0
4,5,6	perturbation_label	0.4074074074074074	0.9629629629629629	0.4157063103050882	2.0
4,5,6	cell_line_label	0.9629629629629629	1.0	0.734951929675415	1.0
4,5,6	batch_label	0.4074074074074074	0.9259259259259259	0.42169787920467605	2.0
4,5,7	condition_key	0.2222222222222222	0.7407407407407407	0.3448707576531221	3.0
4,5,7	condition_batch_label	0.0	0.3333333333333333	0.1712001570819367	8.0
4,5,7	perturbation_label	0.3333333333333333	0.8518518518518519	0.41606835819273236	2.0
4,5,7	cell_line_label	0.7037037037037037	1.0	0.6619203959843288	1.0
4,5,7	batch_label	0.3333333333333333	0.8518518518518519	0.42871596670721807	3.0
4,5,8	condition_key	0.3333333333333333	0.6296296296296297	0.36973363796575387	3.0
4,5,8	condition_batch_label	0.14814814814814814	0.2962962962962963	0.2667336182864667	11.0
4,5,8	perturbation_label	0.3333333333333333	0.7777777777777778	0.4346668924400379	2.0
4,5,8	cell_line_label	1.0	1.0	0.6411136138322059	1.0
4,5,8	batch_label	0.37037037037037035	0.8148148148148148	0.4093026644292704	2.0
4,6,7	condition_key	0.4074074074074074	0.7407407407407407	0.4262214717644889	2.0
4,6,7	condition_batch_label	0.14814814814814814	0.48148148148148145	0.29606062481306145	6.0
4,6,7	perturbation_label	0.4074074074074074	0.7777777777777778	0.4246376869466232	2.0
4,6,7	cell_line_label	0.9259259259259259	1.0	0.7236098907553242	1.0
4,6,7	batch_label	0.2962962962962963	0.9259259259259259	0.41622799569686886	2.0
4,6,8	condition_key	0.37037037037037035	0.6666666666666666	0.3950919597594789	3.0
4,6,8	condition_batch_label	0.18518518518518517	0.37037037037037035	0.30003201307549127	7.0
4,6,8	perturbation_label	0.37037037037037035	0.6666666666666666	0.44556095086395514	3.0
4,6,8	cell_line_label	0.9629629629629629	1.0	0.6687471232471848	1.0
4,6,8	batch_label	0.4444444444444444	1.0	0.41301424515680374	2.0
4,7,8	condition_key	0.3333333333333333	0.6666666666666666	0.40181816622971905	3.0
4,7,8	condition_batch_label	0.07407407407407407	0.37037037037037035	0.23144233642026324	7.0
4,7,8	perturbation_label	0.3333333333333333	0.7407407407407407	0.4455104157823439	3.0
4,7,8	cell_line_label	0.9629629629629629	1.0	0.6674289150706062	1.0
4,7,8	batch_label	0.18518518518518517	0.9629629629629629	0.3988662615502918	3.0
5,6,7	condition_key	0.4074074074074074	0.9259259259259259	0.40845158830051614	2.0
5,6,7	condition_batch_label	0.07407407407407407	0.4444444444444444	0.2329755617279984	6.0
5,6,7	perturbation_label	0.4074074074074074	0.9259259259259259	0.4187288863282841	2.0
5,6,7	cell_line_label	0.9259259259259259	1.0	0.7289320371704597	1.0
5,6,7	batch_label	0.2222222222222222	0.8888888888888888	0.39914813703932583	2.0
5,6,8	condition_key	0.2962962962962963	0.7407407407407407	0.36126600778817064	3.0
