seed	policy	benchmark	representation	heldout_train_perturbation_id	rows	inner_transition	inner_delta_cosine	inner_recall_at_1	inner_delta_rank	inner_magnitude_ratio
37	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	5	9	0.15526373063010865	0.8803078543149625	1.0	7.540421441644134	1.0231107486455846
37	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	6	9	0.07229152617178819	0.7873732434100214	1.0	7.593955939477065	0.9110966461440244
37	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	7	9	0.05964448007091247	0.6726318709568446	1.0	7.5624110129275	0.9103628805648669
37	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	8	9	-0.06206317327106973	-0.1745449049799851	1.0	7.546710576103955	0.4000305734389793
37	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	9	9	0.14591260050770108	0.8608472405880494	1.0	7.540821051759444	0.8773898380019314
37	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	10	9	0.057563776397941635	0.819634094206982	1.0	7.602512971183692	1.0304803832500709
38	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	2	9	0.16433472423482465	0.9734378664271153	1.0	7.107564649263214	1.0519789478757922
38	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	3	9	0.19425422306637236	0.9877102203304009	1.0	7.0838273331876636	0.950617019489374
38	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	5	9	0.20890629101712438	0.9782193306704018	1.0	7.135479534083574	0.9822109375571182
38	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	6	9	0.18090684717371946	0.9763141595205087	1.0	7.080548067486723	0.9599304371822568
38	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	7	9	0.1859090397953817	0.985335206488458	1.0	7.039231757649824	1.0366430377198816
