heldout_group	alpha_source_only	transition_gap_vs_full	recall_gap_vs_full	delta_cosine_gap_vs_full	transition_improvement	recall_at_1	delta_cosine
pert=4|dose=1|cell=1	0.2	0.0011998350623217968	0.0	0.009734872243698955	0.0860798987476508	1.0	0.7362093748879178
pert=4|dose=1|cell=1	0.35	0.000908978756117243	0.0	0.007199528349090989	0.08578904244144625	1.0	0.7336740309933099
pert=4|dose=1|cell=1	0.5	-0.0004738016240748433	0.0	-0.006954292935926754	0.08440626206125416	1.0	0.7195202097082921
pert=4|dose=1|cell=2	0.0	0.0	0.0	0.0	0.07445502460685142	1.0	0.8210926084942874
pert=4|dose=1|cell=2	0.025	-0.0002139046440657183	0.0	-0.00127164504068622	0.0742411199627857	1.0	0.8198209634536012
pert=4|dose=1|cell=2	0.05	-0.00044070916213287403	0.0	-0.00260454938374588	0.07401431544471855	1.0	0.8184880591105416
pert=4|dose=1|cell=2	0.075	-0.0006804791991835424	0.0	-0.003999760903317329	0.07377454540766788	1.0	0.8170928475909701
pert=4|dose=1|cell=2	0.1	-0.0009332792721751249	0.0	-0.00545831989870027	0.0735217453346763	1.0	0.8156342885955872
pert=4|dose=1|cell=2	0.15	-0.0014782218067958819	0.0	-0.00856959687663339	0.07297680280005554	1.0	0.8125230116176541
pert=4|dose=1|cell=2	0.2	-0.002076029413460967	0.0	-0.01194650805400721	0.07237899519339046	1.0	0.8091461004402802
pert=4|dose=1|cell=2	0.35	-0.004191270564865457	0.0	-0.023749169065576003	0.07026375404198597	1.0	0.7973434394287114
pert=4|dose=1|cell=2	0.5	-0.006798065310120394	0.0	-0.03821197185817726	0.06765695929673103	1.0	0.7828806366361102
pert=5|dose=1|cell=0	0.0	0.0	0.0	0.0	0.01976676804444355	1.0	0.57547211306654
pert=5|dose=1|cell=0	0.025	0.0006495750833559848	0.0	0.0034401076856309665	0.020416343127799535	1.0	0.578912220752171
pert=5|dose=1|cell=0	0.05	0.0012610352145662578	0.0	0.006764038573611186	0.021027803259009808	1.0	0.5822361516401512
pert=5|dose=1|cell=0	0.075	0.0018339906715989507	0.0	0.009963273611661827	0.0216007587160425	1.0	0.5854353866782018
pert=5|dose=1|cell=0	0.1	0.0023680632880376633	0.0	0.013029068220041906	0.022134831332481213	1.0	0.5885011812865819
pert=5|dose=1|cell=0	0.15	0.0033181077013694944	0.0	0.018724549760891884	0.023084875745813044	1.0	0.5941966628274319
pert=5|dose=1|cell=0	0.2	0.004108390509484416	0.0	0.023778293620281832	0.023875158553927966	1.0	0.5992504066868218
pert=5|dose=1|cell=0	0.35	0.005496142699397615	0.0	0.03440500664994861	0.025262910743841165	1.0	0.6098771197164886
pert=5|dose=1|cell=0	0.5	0.005367754877084446	0.0	0.03719145950696945	0.025134522921527996	1.0	0.6126635725735095
pert=5|dose=1|cell=1	0.0	0.0	0.0	0.0	0.006159278752087475	1.0	0.4363492694979878
