split_seed	baseline	subset	condition	condition_label	perturbation_ids	pearson_delta_all	pearson_delta_de20	top20_de_overlap	mse_delta_all	mse_delta_de20	mse_expression_all	mse_expression_de20	direction_accuracy_de20	pred_delta_l2	true_delta_l2	de20_count
1	B2_additive_bounded_interaction_mlp	all_test	CBL+TGFBR2	double	CBL+TGFBR2	-0.09386634817713978	0.12397059056629714	0.05	0.004712685476988554	0.5159615874290466	0.004712685476988554	0.5159615874290466	0.5	1.8099522590637207	4.361639499664307	20
1	B2_additive_bounded_interaction_mlp	all_test	FOXA1+FOXL2	double	FOXA1+FOXL2	0.15593374574143878	0.16188149076195502	0.05	0.005426449701189995	0.3012671172618866	0.005426449701189995	0.3012671172618866	0.45	1.1376947164535522	5.293095588684082	20
1	B2_additive_bounded_interaction_mlp	all_test	ETS2+MAP7D1	double	ETS2+MAP7D1	-0.11613646769345294	0.20374647205063431	0.1	0.004730080254375935	0.43283596634864807	0.004730080254375935	0.43283596634864807	0.35	0.44950607419013977	4.812594890594482	20
1	B2_additive_bounded_interaction_mlp	all_test	FOXF1+FOXL2	double	FOXF1+FOXL2	0.17242931095823674	0.349807731729564	0.1	0.008330116979777813	0.377632737159729	0.008330116979777813	0.377632737159729	0.5	1.0892375707626343	6.586431980133057	20
1	B2_additive_bounded_interaction_mlp	all_test	LYL1+CEBPB	double	LYL1+CEBPB	-0.27348107188447174	-0.49885836994941796	0.1	0.0046688467264175415	0.4263344407081604	0.0046688467264175415	0.4263344407081604	0.25	0.2700819671154022	4.77182149887085	20
1	B2_additive_bounded_interaction_mlp	all_test	PTPN12+ZBTB25	double	PTPN12+ZBTB25	-0.1684553288212775	-0.39649449724740904	0.05	0.007999387569725513	0.8615195155143738	0.007999387569725513	0.8615195155143738	0.3	1.2428803443908691	6.024454116821289	20
1	B2_additive_bounded_interaction_mlp	all_test	DUSP9+SNAI1	double	DUSP9+SNAI1	0.4747237910846488	0.768650182062637	0.3	0.01135228481143713	0.5791680812835693	0.01135228481143713	0.5791681408882141	0.85	1.0609593391418457	8.01867961883545	20
1	B2_additive_bounded_interaction_mlp	all_test	RHOXF2BB+ZBTB25	double	RHOXF2BB+ZBTB25	0.3771745092787463	0.41512551622886845	0.15	0.0075134108774363995	0.9065826535224915	0.0075134108774363995	0.9065826535224915	0.7	1.0697605609893799	6.480055332183838	20
1	B2_additive_bounded_interaction_mlp	all_test	FOSB+PTPN12	double	FOSB+PTPN12	-0.1678101658363023	-0.10937328758628889	0.0	0.0023445934057235718	0.20673754811286926	0.0023445934057235718	0.20673754811286926	0.4	1.422518014907837	2.901545286178589	20
1	B2_additive_bounded_interaction_mlp	all_test	SAMD1+PTPN12	double	SAMD1+PTPN12	-0.07829810045630357	-0.4143766699249736	0.15	0.007412911858409643	0.9281450510025024	0.007412911858409643	0.9281450510025024	0.35	0.4112962484359741	6.069432258605957	20
1	B2_additive_bounded_interaction_mlp	all_test	FOXL2+HOXB9	double	FOXL2+HOXB9	-0.040004436530865904	-0.21495965169025683	0.0	0.009859730489552021	0.5599133968353271	0.009859730489552021	0.5599133968353271	0.35	0.32845479249954224	7.032344341278076	20
1	B2_additive_bounded_interaction_mlp	all_test	ZBTB10+ELMSAN1	double	ZBTB10+ELMSAN1	0.4193724425747015	0.7546578695478686	0.2	0.007950886152684689	0.3963924050331116	0.007950886152684689	0.3963924050331116	0.75	0.95086270570755	6.677896976470947	20
1	B2_additive_bounded_interaction_mlp	all_test	JUN+CEBPB	double	JUN+CEBPB	-0.23582532805840256	-0.5905310338935952	0.15	0.01791411265730858	1.0515422821044922	0.01791411079466343	1.0515422821044922	0.15	2.5754873752593994	8.574749946594238	20
1	B2_additive_bounded_interaction_mlp	all_test	BPGM+ZBTB1	double	BPGM+ZBTB1	-0.19784531569959649	-0.2875136064432477	0.1	0.006643482483923435	0.8746268153190613	0.006643482483923435	0.8746268153190613	0.45	1.257660984992981	5.408033847808838	20
1	B2_additive_bounded_interaction_mlp	all_test	ZBTB10+SNAI1	double	ZBTB10+SNAI1	0.3743451891161927	0.45485676390135626	0.15	0.014549357816576958	0.8870353698730469	0.014549357816576958	0.8870353698730469	0.7	0.9728052616119385	8.88843822479248	20
1	B2_additive_bounded_interaction_mlp	all_test	CEBPE+CEBPB	double	CEBPE+CEBPB	-0.8934934068451171	-0.942215545523973	0.4	0.051418084651231766	2.9958443641662598	0.051418084651231766	2.9958443641662598	0.0	6.2662434577941895	10.25403881072998	20
1	B2_additive_bounded_interaction_mlp	all_test	FOXA3+FOXL2	double	FOXA3+FOXL2	0.11474680685387079	-0.014327561529220616	0.05	0.011537471786141396	0.5356349945068359	0.011537471786141396	0.5356349945068359	0.55	1.310704231262207	7.673940658569336	20
1	B2_additive_bounded_interaction_mlp	all_test	ZBTB10+DLX2	double	ZBTB10+DLX2	0.4082664568172956	0.3953046738747499	0.25	0.017699602991342545	0.6902852058410645	0.017699602991342545	0.6902852058410645	0.65	1.1794289350509644	9.873617172241211	20
1	B2_additive_bounded_interaction_mlp	all_test	PLK4+STIL	double	PLK4+STIL	0.14997975135228564	0.4430459025593794	0.15	0.004051118157804012	0.17863169312477112	0.004051118157804012	0.17863169312477112	0.8	1.1931121349334717	4.545938968658447	20
1	B2_additive_bounded_interaction_mlp	all_test	CBL+UBASH3A	double	CBL+UBASH3A	-0.19638567813854207	-0.18863318872178975	0.1	0.007046835497021675	0.5936128497123718	0.007046835497021675	0.5936128497123718	0.5	1.5914554595947266	5.442126750946045	20
1	B2_additive_bounded_interaction_mlp	all_test	AHR+KLF1	double	AHR+KLF1	0.8903610844486652	0.9687826785260847	0.75	0.0013965301914140582	0.027938295155763626	0.0013965301914140582	0.027938295155763626	1.0	5.757645606994629	4.657222270965576	20
1	B2_additive_bounded_interaction_mlp	all_test	CEBPE+RUNX1T1	double	CEBPE+RUNX1T1	0.8712657183296186	0.9631413952016149	0.75	0.0008463949197903275	0.03411203250288963	0.0008463949197903275	0.03411203250288963	1.0	3.538020372390747	4.206437587738037	20
1	B2_additive_bounded_interaction_mlp	all_test	CNN1+MAPK1	double	CNN1+MAPK1	0.8911731325642358	0.9718011061162765	0.6	0.0008962626452557743	0.01872078701853752	0.0008962625288404524	0.01872078888118267	1.0	4.571962356567383	3.614988088607788	20
1	B2_additive_bounded_interaction_mlp	all_test	CNN1+UBASH3A	double	CNN1+UBASH3A	0.5207918234389252	0.6915825612742389	0.25	0.009942515753209591	1.1458022594451904	0.009942515753209591	1.1458022594451904	0.8	1.7303266525268555	7.823477745056152	20
1	B2_additive_bounded_interaction_mlp	all_test	ETS2+CNN1	double	ETS2+CNN1	0.32890190000339564	0.5744224420041646	0.15	0.0017222492024302483	0.19652706384658813	0.0017222492024302483	0.19652706384658813	0.8	1.630624771118164	3.0505471229553223	20
1	B2_additive_bounded_interaction_mlp	all_test	ETS2+IKZF3	double	ETS2+IKZF3	-0.39230071558167656	-0.5403118032678672	0.15	0.01412110310047865	1.6639076471328735	0.01412110310047865	1.6639076471328735	0.3	1.7815697193145752	7.578280925750732	20
1	B2_additive_bounded_interaction_mlp	all_test	ETS2+MAPK1	double	ETS2+MAPK1	-0.2543248058200699	-0.021610736243295774	0.05	0.010560531169176102	1.076446533203125	0.010560531169176102	1.076446533203125	0.5	0.4046901762485504	7.185085296630859	20
1	B2_additive_bounded_interaction_mlp	all_test	FOSB+IKZF3	double	FOSB+IKZF3	0.9281533784191318	0.9703168078712634	0.6	0.002185495337471366	0.09295256435871124	0.002185495337471366	0.09295256435871124	1.0	8.010183334350586	5.9609479904174805	20
1	B2_additive_bounded_interaction_mlp	all_test	FOSB+UBASH3B	double	FOSB+UBASH3B	0.8378225613882486	0.9434467583303078	0.4	0.0011342321522533894	0.02146853879094124	0.0011342321522533894	0.021468540653586388	1.0	4.0658159255981445	2.511939287185669	20
1	B2_additive_bounded_interaction_mlp	all_test	FOXA1+HOXB9	double	FOXA1+HOXB9	0.901851855260697	0.9809379774980663	0.6	0.0014374100137501955	0.028787558898329735	0.0014374100137501955	0.028787558898329735	1.0	4.846209526062012	6.049281597137451	20
1	B2_additive_bounded_interaction_mlp	all_test	IGDCC3+MAPK1	double	IGDCC3+MAPK1	0.8232420086925951	0.9321858501812368	0.5	0.001996454084292054	0.040410395711660385	0.001996454084292054	0.040410395711660385	1.0	5.33449125289917	3.4416022300720215	20
