pred_endpoint_to_source_cosine	pred_endpoint_to_target_cosine	source_to_target_cosine	pred_delta_to_true_delta_cosine	cell_line_id	perturbation_id	batch_id
0.9312497664541057	0.9484737893735817	0.9371434421956534	0.6116147080855135	2	1	2
0.9730373005515196	0.972866297047564	0.9690503616071016	0.5360561697690803	0	6	0
0.9253894534855572	0.8669713665868664	0.6835978300657952	0.8683118826400626	1	1	1
0.9183925412530939	0.9105321691438529	0.916166873727773	0.4632511471526616	0	2	1
0.9678029324530303	0.9005717730219355	0.9190477299623117	0.13198483944736894	0	1	2
0.9470610640506423	0.9327152189114701	0.8545929138844711	0.7367031264021442	0	2	2
0.8960272429799646	0.9413263396374807	0.9447350753050986	0.6602335676667579	2	2	2
0.9488791835623798	0.9545040753850846	0.8940223102640842	0.7445512299226544	0	6	2
0.9768446842383629	0.9546303565007702	0.951853397128503	0.40460078216085843	1	1	0
0.9567083422389396	0.9602102180154215	0.9697274810444942	0.46955319054997535	0	1	1
0.9703428774428311	0.9556630592974412	0.9523702259681952	0.4492308137957309	0	1	0
0.9604692357532035	0.9245334119083923	0.9452895888900988	0.2314362646454265	2	1	0
0.9605149679440025	0.920512494616665	0.9054587727689044	0.47088805546516904	2	6	1
0.972187232388888	0.9610649235168812	0.9638078507786203	0.4048776086054993	1	6	2
0.9339028086203138	0.9632584833527056	0.9485306419000711	0.6910053720128619	2	2	0
0.9666636929363882	0.9252840319534661	0.8800163009011738	0.6409037311140005	1	6	1
0.9416389399290406	0.9354197496314272	0.9553068249471743	0.3796923555338622	0	6	1
0.9722230165048866	0.7016131838264051	0.793357010949335	-0.3493455510187972	1	2	2
0.9753269830294616	0.9673880052374912	0.9283895824606451	0.7644309538256883	0	2	0
0.9183604390531871	0.9298222164465411	0.8534017443375994	0.7335481981050969	2	6	0
0.9247671403297619	0.9336948247281475	0.9357827334559926	0.5310462289635381	1	6	0
0.9323076625427675	0.8136115523006437	0.8945377207835924	-0.05518782127235673	1	2	1
0.9802966216463727	0.6561284696205303	0.711794408546212	-0.139657184796819	1	2	0
0.9886806628874432	0.9810534640332393	0.9715458756438269	0.585078959843979	2	1	1
0.9874157511060141	0.9699035251226535	0.9614354798470826	0.4876816854853848	1	1	2
0.9486270154208771	0.9280003377770125	0.9273521799064832	0.4415798133405635	2	2	1
0.9449452067572969	0.9283051514930376	0.930117074755272	0.44260024172177176	1	7	0
0.9383977133119707	0.969692425802689	0.9371434421956534	0.7546713321427678	2	1	2
0.9272208087445256	0.8582130179763207	0.6835978300657952	0.8442593605239714	1	1	1
0.9702323316621823	0.9603386456219243	0.9312113593082991	0.6581981781565862	0	7	1
0.9434870392762345	0.9278001115178286	0.916166873727773	0.5042206853950643	0	2	1
0.9414355300569693	0.9047139174027266	0.9190477299623117	0.32851316392901686	0	1	2
0.9235567227511466	0.783894043167907	0.7521271975430166	0.4291020713646894	2	7	2
0.9103273266503515	0.9644553650353412	0.8545929138844711	0.873209592495549	0	2	2
0.9014164269272135	0.9624898405706614	0.9447350753050986	0.7790777145473837	2	2	2
0.8825182887091412	0.9147186089658347	0.7141401573710879	0.8797865766478647	1	7	1
0.9849758727904037	0.9627374176960843	0.951853397128503	0.4945615240032239	1	1	0
0.9542849167861774	0.9592193862920644	0.9697274810444942	0.47497350195304494	0	1	1
0.9743202828351218	0.9492230707270184	0.9523702259681952	0.33754719517876536	0	1	0
0.9563806138684305	0.9126206188638669	0.9452895888900988	0.1388552587963131	2	1	0
0.9825617266255947	0.9146551409594454	0.8826277119186317	0.5775788030344291	2	7	0
0.9138751742363892	0.9715884687162766	0.9485306419000711	0.8184204320894463	2	2	0
0.9782074843681912	0.7255765808793833	0.793357010949335	-0.2616840997658905	1	2	2
0.9760848345231773	0.9650264767348664	0.9283895824606451	0.7395459072143048	0	2	0
0.9635363260694632	0.9009274387313013	0.8360570084478907	0.6843000477634401	2	7	1
0.9483321554498021	0.8270945877751428	0.8945377207835924	-0.0817003498607071	1	2	1
0.9838345471041806	0.7001056592932383	0.711794408546212	0.1375156820212774	1	2	0
0.974898441115693	0.9724939334131156	0.9715458756438269	0.49165646539779934	2	1	1
0.9886042359205226	0.9593287884665468	0.9169513411577547	0.8772117991854713	1	7	2
0.9570147739796497	0.9735497520401858	0.9354105520299894	0.7723803427731171	0	7	0
0.9670172250725751	0.951307719499109	0.8980957833634902	0.7516530140885473	0	7	2
0.9912612756805631	0.9783307750344543	0.9614354798470826	0.7041100647108514	1	1	2
0.9357278920139146	0.9406435529915054	0.9273521799064832	0.5746873938730034	2	2	1
0.9542757397333147	0.8388108688608642	0.9291509814697555	-0.3664478573636576	2	8	1
0.9296045371033522	0.9681917604226901	0.9371434421956534	0.7606117613901577	2	1	2
0.8848598968852288	0.9143094178703841	0.6835978300657952	0.9211390340289951	1	1	1
